plane_group,reads_count_0,reads_count_1,reads_count_2,reads_count_3,reads_count_4,reads_count_5,reads_count_6,reads_count_7,reads_count_8,reads_count_9,reads_count_10,reads_count_11,reads_count_12,reads_count_13,reads_count_14,reads_count_15,reads_count_16,reads_count_17,reads_count_18,reads_count_19,reads_count_20,reads_count_21,reads_count_22,reads_count_23,reads_count_24,reads_count_25,reads_count_26,reads_count_27,reads_count_28,reads_count_29,reads_count_30,reads_count_31,reads_count_32,reads_count_33,reads_count_34,reads_count_35,reads_count_36,reads_count_37,reads_count_38,reads_count_39,reads_count_40,reads_count_41,reads_count_42,reads_count_43,reads_count_44,reads_count_45,reads_count_46,reads_count_47,reads_count_48,reads_count_49,reads_count_50,reads_count_51,reads_count_52,reads_count_53,reads_count_54,reads_count_55,reads_count_56,reads_count_57,reads_count_58,reads_count_59,reads_count_60,reads_count_61,reads_count_62,reads_count_63,reads_count_64,reads_count_65,reads_count_66,reads_count_67,reads_count_68,reads_count_69,reads_count_70,reads_count_71,reads_count_72,reads_count_73,reads_count_74,reads_count_75,reads_count_76,reads_count_77,reads_count_78,reads_count_79,reads_count_80,reads_count_81,reads_count_82,reads_count_83,reads_count_84,reads_count_85,reads_count_86,reads_count_87,reads_count_88,reads_count_89,reads_count_90,reads_count_91,reads_count_92,reads_count_93,reads_count_94,reads_count_95,reads_count_96,reads_count_97,reads_count_98,reads_count_99,reads_count_100,reads_count_101,reads_count_102,reads_count_103,reads_count_104,reads_count_105,reads_count_106,reads_count_107,reads_count_108,reads_count_109,reads_count_110,reads_count_111,reads_count_112,reads_count_113,reads_count_114,reads_count_115,reads_count_116,reads_count_117,reads_count_118,reads_count_119,reads_count_120,reads_count_121,reads_count_122,reads_count_123,reads_count_124,reads_count_125,reads_count_126,reads_count_127,reads_count_128,reads_count_129,reads_count_130,reads_count_131,reads_count_132,reads_count_133,reads_count_134,reads_count_135,reads_count_136,reads_count_137,reads_count_138,reads_count_139,reads_count_140,reads_count_141,reads_count_142,reads_count_143,reads_count_144,reads_count_145,reads_count_146,reads_count_147,reads_count_148,reads_count_149,reads_count_150,reads_count_151,reads_count_152,reads_count_153,reads_count_154,reads_count_155,reads_count_156,reads_count_157,reads_count_158,reads_count_159,reads_count_160,reads_count_161,reads_count_162,reads_count_163,reads_count_164,reads_count_165,reads_count_166,reads_count_167,reads_count_168,reads_count_169,reads_count_170,reads_count_171,reads_count_172,reads_count_173,reads_count_174,reads_count_175,reads_count_176,reads_count_177,reads_count_178,reads_count_179,reads_count_180,reads_count_181,reads_count_182,reads_count_183,reads_count_184,reads_count_185,reads_count_186,reads_count_187,reads_count_188,reads_count_189,reads_count_190,reads_count_191,reads_count_192,reads_count_193,reads_count_194,reads_count_195,reads_count_196,reads_count_197,reads_count_198,reads_count_199,reads_count_200,reads_count_201,reads_count_202,reads_count_203,reads_count_204,reads_count_205,reads_count_206,reads_count_207,reads_count_208,reads_count_209,reads_count_210,reads_count_211,reads_count_212,reads_count_213,reads_count_214,reads_count_215,reads_count_216,reads_count_217,reads_count_218,reads_count_219,reads_count_220,reads_count_221,reads_count_222,reads_count_223,reads_count_224,reads_count_225,reads_count_226,reads_count_227,reads_count_228,reads_count_229,reads_count_230,reads_count_231,reads_count_232,reads_count_233,reads_count_234,reads_count_235,reads_count_236,reads_count_237,reads_count_238,reads_count_239,reads_count_240,reads_count_241,reads_count_242,reads_count_243,reads_count_244,reads_count_245,reads_count_246,reads_count_247,reads_count_248,reads_count_249,reads_count_250,reads_count_251,reads_count_252,reads_count_253,reads_count_254,reads_count_255
20,5,7,4,8,7,3,3,11,4,6,4,8,3,3,4,7,4,7,8,8,3,4,4,4,5,6,6,7,6,7,6,8,5,4,9,4,3,6,5,7,6,6,7,6,4,7,5,5,5,6,6,5,7,7,5,4,4,6,4,5,5,7,5,4,4,6,8,7,6,4,4,6,5,5,5,8,8,1,8,6,2,4,4,3,6,6,3,6,9,5,4,6,2,3,4,4,6,6,4,4,6,6,7,6,4,6,6,7,2,6,7,5,4,4,6,6,7,4,5,6,5,6,8,5,4,5,3,5,6,6,5,6,5,7,2,6,5,6,6,6,4,4,5,6,3,8,4,6,7,6,5,8,5,7,5,6,7,4,2,7,6,7,4,5,6,5,3,4,6,4,4,5,6,7,6,7,4,6,5,7,5,6,5,6,5,4,9,4,6,5,4,7,7,7,4,5,3,6,3,3,5,4,7,7,6,6,4,8,9,6,4,4,3,2,6,4,6,4,7,6,4,3,7,5,7,5,7,5,5,7,5,6,6,7,5,6,5,4,5,7,6,7,4,4,5,6,5,2,5,2,8,6,5,5,6,8
21,4,5,3,4,3,7,4,1,2,2,5,8,5,6,6,8,4,7,7,6,4,6,5,5,5,5,8,7,6,7,6,4,5,4,5,6,6,7,5,6,6,8,8,6,5,6,5,6,6,5,6,5,4,9,4,8,4,4,4,5,7,6,5,7,4,5,8,5,5,4,6,2,4,6,6,6,5,4,5,8,5,5,7,5,5,5,5,5,7,6,5,7,5,6,5,5,7,7,5,5,6,6,5,6,4,5,10,6,8,5,6,5,4,5,4,7,8,5,5,5,3,4,8,6,5,6,4,6,5,5,5,6,6,7,3,6,3,7,6,8,5,5,6,5,5,8,4,7,7,4,4,6,4,7,8,5,9,6,2,6,6,6,3,5,4,4,3,3,6,4,4,6,8,6,5,8,6,5,6,7,5,5,5,6,4,6,7,5,5,6,7,6,6,3,4,5,5,6,5,7,4,5,8,3,5,6,4,5,6,6,5,7,4,4,6,5,8,7,4,5,5,5,6,6,7,3,7,6,5,7,5,5,4,5,5,8,7,3,6,8,4,6,4,2,6,7,5,4,4,3,5,5,5,5,5,6
22,5,5,5,7,4,4,7,5,6,5,7,6,5,9,10,5,3,5,6,5,6,5,5,9,6,5,6,7,2,7,5,3,4,2,7,8,5,7,5,3,6,7,7,7,5,8,6,2,5,7,8,6,6,6,7,8,4,4,3,4,5,5,4,7,5,5,8,4,4,4,6,3,4,4,7,3,5,4,4,8,5,7,7,3,7,4,4,4,7,4,6,6,3,5,6,6,5,6,7,4,5,6,4,8,4,4,8,5,9,5,7,5,4,5,5,6,6,6,6,6,7,6,8,6,7,6,3,4,6,4,7,8,6,4,5,7,4,6,7,7,5,3,3,4,5,6,3,7,7,6,8,6,7,8,8,4,6,4,5,5,6,6,3,6,4,5,4,5,6,6,5,6,9,4,5,6,7,4,4,6,6,6,3,5,4,7,4,5,5,5,7,5,6,5,5,3,5,6,6,6,5,7,7,4,6,5,7,4,4,7,5,4,5,5,5,6,5,6,4,5,5,4,5,5,7,6,4,6,3,4,3,5,5,4,5,8,9,6,5,7,4,5,3,2,7,6,6,4,7,4,6,5,6,4,7,7
23,8,6,5,8,8,2,4,5,5,5,6,7,6,8,10,6,5,5,6,6,4,6,5,7,6,5,6,7,3,8,6,5,4,2,5,5,7,5,6,4,6,7,9,6,4,8,6,2,6,7,6,5,5,6,8,8,3,8,3,4,5,4,4,7,6,6,6,5,5,2,6,7,5,3,7,5,7,2,3,7,4,8,9,4,6,4,3,4,7,6,7,5,7,3,6,4,6,7,6,4,7,5,6,7,4,6,6,6,6,6,5,3,5,7,5,5,6,6,7,2,8,6,7,5,7,6,3,4,5,6,6,6,6,7,5,6,5,8,5,6,4,5,3,7,3,6,5,5,7,6,8,7,5,7,7,3,5,6,6,6,7,6,6,8,3,8,4,7,6,6,5,5,8,6,7,6,7,3,5,7,9,5,4,5,6,4,5,4,7,7,6,7,6,6,4,4,5,5,3,5,5,6,9,4,6,2,7,3,4,7,4,3,5,4,5,6,6,6,5,5,5,7,6,4,7,6,4,6,4,6,5,5,4,4,4,9,5,5,5,4,7,4,4,4,6,5,4,6,5,6,5,5,6,5,6,5
24,8,6,5,7,4,4,4,4,5,6,3,5,2,6,9,8,8,3,6,8,5,3,4,6,6,2,6,10,3,5,5,5,6,3,6,6,6,7,4,4,4,5,7,6,3,6,6,2,5,6,6,6,6,7,7,8,4,8,6,4,5,5,4,7,4,7,5,5,5,1,5,4,5,3,8,7,5,2,4,5,6,4,8,5,6,4,4,6,4,6,5,3,9,5,5,4,6,7,7,4,7,5,4,8,6,9,7,5,6,4,2,6,7,7,5,8,6,4,6,4,7,7,6,7,5,8,4,7,6,7,5,6,7,4,3,6,5,6,4,5,5,5,6,4,3,7,4,6,4,5,7,5,5,7,6,3,4,8,6,8,6,5,10,6,7,9,5,5,6,7,5,5,8,5,7,5,6,4,6,7,9,3,2,6,6,5,5,4,8,7,4,7,6,4,4,3,6,4,5,6,7,5,8,5,5,5,6,3,6,5,6,4,4,6,5,5,6,4,7,5,7,5,6,4,6,8,7,6,6,7,6,4,4,5,3,6,3,6,4,5,4,7,7,3,6,6,5,6,6,6,5,5,3,4,5,6
25,6,5,6,5,5,7,4,6,4,7,4,9,4,7,10,8,5,5,6,9,6,3,6,7,6,6,3,8,3,6,4,4,6,4,5,7,3,6,4,5,5,6,7,7,5,5,5,2,6,7,6,6,8,8,8,8,5,7,6,6,3,6,5,6,5,6,1,4,4,3,4,4,6,6,9,6,4,2,7,6,4,4,7,7,8,3,4,9,7,5,4,5,5,7,6,8,6,6,9,6,7,7,6,6,5,9,6,6,6,5,4,6,8,6,6,7,6,6,5,9,5,4,7,5,4,6,6,4,7,5,5,8,7,3,3,5,6,5,6,6,5,7,9,5,5,10,6,5,6,5,7,6,4,7,5,4,4,8,5,6,6,5,6,5,7,5,5,6,5,3,7,6,8,5,7,7,7,4,4,3,8,3,5,4,4,7,6,7,5,6,4,7,7,5,3,3,5,5,6,5,5,7,6,5,5,2,6,5,7,7,10,8,8,5,4,5,5,4,4,5,6,3,4,5,5,5,6,7,6,9,6,5,6,4,5,4,7,8,6,3,6,7,6,3,5,4,6,8,6,4,7,5,4,5,4,5
26,6,7,7,6,9,7,4,6,6,6,4,6,6,5,6,9,6,6,5,7,5,3,5,8,6,5,3,6,6,4,5,3,5,4,4,6,3,7,4,6,3,6,6,6,6,5,6,4,5,4,7,5,7,9,7,7,5,4,5,8,4,6,4,5,5,6,4,3,4,4,5,6,6,5,5,5,6,3,9,6,8,7,6,6,6,4,3,7,9,5,3,7,5,5,4,8,6,6,6,5,7,7,7,7,4,7,5,6,8,4,5,8,4,5,2,7,6,6,5,7,4,7,7,7,4,6,5,3,4,6,7,7,7,4,4,6,10,6,7,6,5,5,7,6,6,9,8,5,5,8,5,4,4,7,6,7,5,7,4,6,8,5,5,5,6,5,6,7,4,1,7,4,6,6,7,7,5,6,4,6,6,7,7,4,6,6,7,6,6,5,4,6,6,5,4,3,5,6,8,6,4,3,5,5,5,3,6,6,10,7,9,7,7,3,6,5,3,8,3,5,6,8,7,2,5,6,6,5,5,8,4,6,6,4,5,6,5,5,9,5,4,6,7,5,5,6,5,5,5,5,8,5,6,7,4,4
27,6,6,7,4,8,6,7,7,6,4,4,5,8,4,5,6,8,7,5,2,5,2,7,6,7,3,4,7,7,2,8,3,5,5,6,4,5,5,4,7,3,5,7,7,6,7,6,5,7,4,4,4,5,10,6,4,7,5,7,5,4,7,5,8,6,7,4,4,4,5,6,7,3,5,6,4,6,3,8,7,4,7,7,6,8,3,5,6,7,6,4,6,8,4,7,8,6,4,6,2,7,7,5,7,3,6,7,7,10,4,4,7,4,7,3,6,6,8,3,7,5,7,6,6,8,7,5,6,5,7,3,5,6,4,5,7,9,7,5,6,4,6,6,7,5,6,9,5,5,5,3,4,5,7,6,4,4,8,7,4,9,8,6,7,6,4,7,7,3,6,6,5,5,4,6,4,4,5,6,5,7,5,5,4,6,5,4,6,8,6,6,5,7,3,2,6,6,5,4,8,5,3,5,5,7,2,6,7,8,3,6,7,6,3,7,3,4,6,5,4,8,7,7,4,5,7,6,5,7,4,3,8,7,6,4,9,7,8,9,7,5,5,7,3,4,5,6,8,5,5,8,3,6,5,5,6
28,5,6,4,7,6,3,6,5,9,6,5,6,7,6,6,6,5,6,8,3,5,8,7,4,4,7,7,5,7,6,7,2,6,3,8,5,5,6,5,7,3,2,5,7,6,6,6,1,7,5,5,6,4,8,6,3,7,4,7,6,4,5,6,8,4,7,8,4,3,7,6,6,4,7,6,3,5,3,9,5,5,6,6,7,5,3,6,5,3,5,5,6,6,8,6,6,5,4,6,3,5,6,4,6,3,7,7,6,8,3,5,4,4,6,4,6,8,8,4,10,4,7,6,6,6,6,4,9,9,6,3,4,5,4,6,7,7,7,4,5,5,5,6,7,6,5,5,3,4,4,3,3,8,6,5,7,4,8,5,5,8,7,7,7,6,4,8,5,3,8,6,6,6,5,8,4,6,6,6,8,8,5,5,2,8,5,6,7,7,7,7,7,8,3,2,6,6,5,5,8,3,4,6,6,8,2,6,8,5,5,5,8,6,7,5,4,4,6,7,5,6,5,4,3,5,8,7,7,6,5,7,6,8,6,4,6,7,7,6,6,7,5,6,4,5,4,5,8,6,4,7,3,5,6,4,5
29,8,6,7,5,7,6,4,4,6,8,4,6,9,5,5,7,4,6,7,3,6,10,7,3,5,8,8,5,6,7,7,3,5,3,7,7,7,6,8,6,3,3,7,6,8,6,5,3,9,6,4,7,6,6,9,5,7,4,5,6,3,8,6,8,5,6,7,4,4,5,6,7,4,6,5,4,8,4,9,6,5,6,6,8,7,4,3,4,4,3,3,2,6,6,5,5,5,4,7,6,5,4,6,7,4,8,7,6,7,6,4,5,4,5,4,7,6,9,6,8,4,6,8,7,6,6,5,7,6,7,6,5,5,6,8,6,7,6,5,5,5,6,5,6,7,4,6,2,5,6,6,4,6,6,6,5,4,8,5,5,6,4,5,7,6,5,5,5,4,8,4,6,4,6,6,4,5,3,6,8,9,3,5,3,10,6,6,7,5,5,6,6,6,3,2,7,4,7,6,6,6,4,7,5,5,2,6,6,4,4,4,5,7,7,6,5,4,5,6,6,5,5,3,5,3,7,6,8,4,5,5,4,8,5,7,7,4,7,6,6,7,6,4,7,3,3,6,8,4,3,5,2,6,6,5,6
30,5,8,8,3,5,10,6,5,4,7,5,5,6,8,5,8,3,6,8,4,7,12,7,4,6,4,6,5,7,5,6,3,6,2,5,8,5,6,8,6,3,4,6,6,8,7,5,4,9,7,3,7,4,4,7,3,6,5,6,6,6,9,6,8,5,6,4,3,4,7,6,5,3,7,5,8,7,6,8,8,7,6,8,4,7,3,4,5,7,3,3,2,6,5,8,6,6,6,7,6,5,7,5,6,4,4,10,5,4,5,7,5,5,6,4,5,6,5,3,8,5,6,6,6,5,5,6,7,6,8,7,5,5,6,7,6,7,5,5,5,5,5,5,8,5,7,7,2,5,6,6,6,8,7,6,3,4,8,7,4,5,8,5,7,6,6,4,4,5,6,6,5,5,7,6,5,5,5,7,5,6,4,7,5,10,7,4,7,4,6,4,6,5,5,4,7,5,5,6,9,8,4,5,7,5,5,8,5,8,4,5,7,8,9,6,5,5,5,6,6,5,6,6,4,4,5,5,7,5,5,6,4,6,5,7,6,7,7,8,7,7,6,6,6,6,6,6,5,4,6,6,2,6,8,6,7
31,6,8,6,5,5,9,7,7,8,7,3,5,4,7,7,6,7,8,6,7,5,7,5,5,7,2,5,5,5,5,6,4,6,4,3,9,3,5,6,6,4,4,6,6,8,6,6,6,8,9,4,6,5,6,5,3,5,6,6,7,7,6,6,7,7,4,1,4,5,7,6,4,3,7,5,7,5,6,6,9,5,5,7,5,5,4,5,8,6,4,5,4,4,6,7,6,7,4,7,5,7,9,4,6,6,7,7,4,7,5,6,6,6,5,6,6,8,5,3,5,4,7,6,4,6,6,7,3,7,5,7,7,6,4,7,3,7,5,4,6,7,6,7,5,8,8,5,3,6,6,10,5,5,5,6,5,4,9,11,5,6,7,6,6,6,5,5,3,5,6,7,4,5,5,5,4,8,6,5,7,5,4,6,5,8,6,6,7,5,5,7,6,5,4,5,7,5,4,5,8,7,5,3,5,5,4,5,7,8,6,4,4,7,8,7,5,4,6,3,5,6,8,5,7,5,7,6,9,5,4,6,4,8,4,6,6,4,8,7,8,6,7,4,5,7,5,6,6,6,6,6,4,6,6,6,8
